Date|Time|Description|Vendor|Amount
2025-10-12|00:01:49.887314600|personal loan|upstart |5658.0
2025-10-12|11:44:23.400954900|Car note |united auto credit |3432.0
2025-10-12|16:23:48.561119100|chase credit card|chase|-4000.0
2025-10-14|10:25:29.552072|Getting paid for house renovation |HouseCo|44343.0
2023-03-05|09:12:14.773021800|Home Internet Bill|Spectrum|-85.75
2023-06-17|15:45:38.883412900|Tax Refund Deposit|IRS|1450.00
2024-01-22|11:30:02.114918700|Car Maintenance|Firestone|-245.30
2024-02-10|08:51:19.775238900|Paycheck|Amazon|2200.00
2024-05-14|16:12:45.889142200|Groceries|Publix|-176.43
2024-07-08|13:25:11.221456700|Gym Membership|LA Fitness|-49.99
2024-08-25|19:47:36.667144900|Online Course Payment|Udemy|-89.99
2024-09-05|07:32:18.944752300|Freelance Project Payment|Upwork|1350.00
2025-01-12|10:09:11.544623700|Credit Card Payment|Capital One|-350.00
2025-02-18|18:42:59.122687400|Rent|Landlord|-1450.00
2025-03-03|09:54:27.777217100|Paycheck|TechCorp|2550.00
2025-03-11|20:41:10.643918200|Vacation Flight|Delta Airlines|-670.00
2025-05-23|12:15:32.812234700|Bonus Deposit|TechCorp|1500.00
2025-07-06|08:44:49.567812900|Phone Bill|Verizon|-98.00
2025-08-20|17:28:11.911423400|New Laptop|Best Buy|-1250.00
2025-09-15|10:10:55.223614100|Paycheck|TechCorp|2550.00
2025-09-28|14:55:22.817431800|Weekend Trip|Airbnb|-320.00
2025-10-05|09:01:48.334812200|Insurance Reimbursement|Progressive|430.00
2025-10-12|16:33:58.671231500|Grocery Shopping|Walmart|-185.40
2025-10-14|21:45:20.991433200|Freelance Payment|Fiverr|680.00
2025-10-16|11:12:45.501916100|yyjtjtjt|rhrhr|45.0
